Offset,Chord,NormalForm,PCsInNormalForm,File,Composer,measureNumber,beatNumber
144.5,<music21.chord.Chord G-1 G-2 D-3 A-3 B-3 E-4 A-4 F5>,"[0, 2, 4, 5, 7, 9]","[1, 3, 5, 6, 8, 10]",Copland_Piano_Blues_No_3.mxl,Copland,39,3.500
146,<music21.chord.Chord E-2 B-2 A-3 D-4 F4>,"[0, 2, 4, 7, 9]","[1, 3, 5, 8, 10]",Copland_Piano_Blues_No_3.mxl,Copland,40,1.000
146.5,<music21.chord.Chord F2 C3 G3 C4 E-4>,"[0, 3, 5, 7]","[0, 3, 5, 7]",Copland_Piano_Blues_No_3.mxl,Copland,40,1.500
147,<music21.chord.Chord F2 G-2 C3 G3 C4 E-4>,"[0, 3, 5, 6, 7]","[0, 3, 5, 6, 7]",Copland_Piano_Blues_No_3.mxl,Copland,40,2.000
147.125,<music21.chord.Chord F2 G-2 C3 D-3 G3 C4 E-4>,"[0, 1, 3, 5, 6, 7]","[0, 1, 3, 5, 6, 7]",Copland_Piano_Blues_No_3.mxl,Copland,40,2.125
147.25,<music21.chord.Chord F2 G-2 C3 D-3 G3 A-3 C4 E-4>,"[0, 1, 3, 5, 6, 7, 8]","[0, 1, 3, 5, 6, 7, 8]",Copland_Piano_Blues_No_3.mxl,Copland,40,2.250
147.375,<music21.chord.Chord F2 G-2 C3 D-3 G3 A-3 B-3 C4 E-4>,"[0, 1, 2, 3, 5, 7, 8, 10]","[5, 6, 7, 8, 10, 0, 1, 3]",Copland_Piano_Blues_No_3.mxl,Copland,40,2.375
147.5,<music21.chord.Chord F2 G-2 C3 D-3 G3 A-3 B-3 C4 E-4>,"[0, 1, 2, 3, 5, 7, 8, 10]","[5, 6, 7, 8, 10, 0, 1, 3]",Copland_Piano_Blues_No_3.mxl,Copland,40,2.500
147.625,<music21.chord.Chord F2 G-2 C3 D-3 G3 A-3 B-3 C4 E-4 A-4>,"[0, 1, 2, 3, 5, 7, 8, 10]","[5, 6, 7, 8, 10, 0, 1, 3]",Copland_Piano_Blues_No_3.mxl,Copland,40,2.625
147.75,<music21.chord.Chord F2 G-2 C3 D-3 G3 A-3 B-3 C4 E-4 A-4 B-4>,"[0, 1, 2, 3, 5, 7, 8, 10]","[5, 6, 7, 8, 10, 0, 1, 3]",Copland_Piano_Blues_No_3.mxl,Copland,40,2.750
147.875,<music21.chord.Chord F2 G-2 C3 D-3 G3 A-3 B-3 C4 E-4 A-4 B-4 F5>,"[0, 1, 2, 3, 5, 7, 8, 10]","[5, 6, 7, 8, 10, 0, 1, 3]",Copland_Piano_Blues_No_3.mxl,Copland,40,2.875
