Offset,Chord,NormalForm,PCsInNormalForm,File,measureNumber,beatNumber,Composer
29.125,<music21.chord.Chord F5 B5 G#4 G#5 F#3 E-4 E-3>,"[0, 2, 3, 5, 8]","[3, 5, 6, 8, 11]",6 Etudes for Piano Op 111 Prelude and Fugue Eb minor.mid,,,Saint-Saens
29.625,<music21.chord.Chord F5 B5 F3 E-4 C#3>,"[0, 2, 4, 6]","[11, 1, 3, 5]",6 Etudes for Piano Op 111 Prelude and Fugue Eb minor.mid,,,Saint-Saens
30.125,<music21.chord.Chord F5 B5 F#3 E-4 E-3>,"[0, 4, 6, 7]","[11, 3, 5, 6]",6 Etudes for Piano Op 111 Prelude and Fugue Eb minor.mid,,,Saint-Saens
30.625,<music21.chord.Chord G#4 G#5 F5 B5 F3 G#3 E-4>,"[0, 2, 5, 8]","[3, 5, 8, 11]",6 Etudes for Piano Op 111 Prelude and Fugue Eb minor.mid,,,Saint-Saens
31.125,<music21.chord.Chord F5 B5 G#4 G#5 F#3 E-4 E-3>,"[0, 2, 3, 5, 8]","[3, 5, 6, 8, 11]",6 Etudes for Piano Op 111 Prelude and Fugue Eb minor.mid,,,Saint-Saens
31.625,<music21.chord.Chord F5 B5 G#4 G#5 F3 E-4 C#3>,"[0, 2, 4, 6, 9]","[11, 1, 3, 5, 8]",6 Etudes for Piano Op 111 Prelude and Fugue Eb minor.mid,,,Saint-Saens
32.125,<music21.chord.Chord G#4 G#5 F5 B5 F#3 E-4 E-3>,"[0, 2, 3, 5, 8]","[3, 5, 6, 8, 11]",6 Etudes for Piano Op 111 Prelude and Fugue Eb minor.mid,,,Saint-Saens
32.625,<music21.chord.Chord C#5 C#6 F5 B5 F3 G#3 C#4>,"[0, 3, 6, 8]","[5, 8, 11, 1]",6 Etudes for Piano Op 111 Prelude and Fugue Eb minor.mid,,,Saint-Saens
33.125,<music21.chord.Chord F5 B5 C#5 C#6 F#3 C#4 E-3>,"[0, 2, 4, 6, 7]","[11, 1, 3, 5, 6]",6 Etudes for Piano Op 111 Prelude and Fugue Eb minor.mid,,,Saint-Saens
33.625,<music21.chord.Chord F5 B5 C#5 C#6 F3 C#4 C#3>,"[0, 2, 6]","[11, 1, 5]",6 Etudes for Piano Op 111 Prelude and Fugue Eb minor.mid,,,Saint-Saens
34.125,<music21.chord.Chord F5 B5 C#5 C#6 F#3 C#4 E-3>,"[0, 2, 4, 6, 7]","[11, 1, 3, 5, 6]",6 Etudes for Piano Op 111 Prelude and Fugue Eb minor.mid,,,Saint-Saens
34.625,<music21.chord.Chord G#4 G#5 F5 B5 F3 G#3 C#4>,"[0, 3, 6, 8]","[5, 8, 11, 1]",6 Etudes for Piano Op 111 Prelude and Fugue Eb minor.mid,,,Saint-Saens
35.125,<music21.chord.Chord F5 B5 G#4 G#5 F#3 C#4 E-3>,"[0, 2, 4, 6, 7, 9]","[11, 1, 3, 5, 6, 8]",6 Etudes for Piano Op 111 Prelude and Fugue Eb minor.mid,,,Saint-Saens
35.625,<music21.chord.Chord F5 B5 G#4 G#5 F3 C#4 C#3>,"[0, 3, 6, 8]","[5, 8, 11, 1]",6 Etudes for Piano Op 111 Prelude and Fugue Eb minor.mid,,,Saint-Saens
36.125,<music21.chord.Chord F5 B5 G#4 G#5 F#3 C#4 E-3>,"[0, 2, 4, 6, 7, 9]","[11, 1, 3, 5, 6, 8]",6 Etudes for Piano Op 111 Prelude and Fugue Eb minor.mid,,,Saint-Saens
36.625,<music21.chord.Chord F5 B5 F3 G#3 C#4>,"[0, 3, 6, 8]","[5, 8, 11, 1]",6 Etudes for Piano Op 111 Prelude and Fugue Eb minor.mid,,,Saint-Saens
37.125,<music21.chord.Chord F5 B5 F#3 C#4 E-3>,"[0, 2, 4, 6, 7]","[11, 1, 3, 5, 6]",6 Etudes for Piano Op 111 Prelude and Fugue Eb minor.mid,,,Saint-Saens
