Offset,Chord,NormalForm,PCsInNormalForm,File,measureNumber,beatNumber,Composer
114,<music21.chord.Chord E3>,[0],[4],AlariodelRio_Sol_Sostenido.xml,20,1.000,AlariodelRio
114.5,<music21.chord.Chord F#3>,[0],[6],AlariodelRio_Sol_Sostenido.xml,20,1.250,AlariodelRio
115,<music21.chord.Chord D#3>,[0],[3],AlariodelRio_Sol_Sostenido.xml,20,1.500,AlariodelRio
115.5,<music21.chord.Chord C#3>,[0],[1],AlariodelRio_Sol_Sostenido.xml,20,1.750,AlariodelRio
116,<music21.chord.Chord E3>,[0],[4],AlariodelRio_Sol_Sostenido.xml,20,2.000,AlariodelRio
118.5,<music21.chord.Chord E3>,[0],[4],AlariodelRio_Sol_Sostenido.xml,20,3.250,AlariodelRio
119,<music21.chord.Chord E3>,[0],[4],AlariodelRio_Sol_Sostenido.xml,20,3.500,AlariodelRio
119.5,<music21.chord.Chord F#3>,[0],[6],AlariodelRio_Sol_Sostenido.xml,20,3.750,AlariodelRio
120,<music21.chord.Chord D#3>,[0],[3],AlariodelRio_Sol_Sostenido.xml,21,1.000,AlariodelRio
120.5,<music21.chord.Chord C#3>,[0],[1],AlariodelRio_Sol_Sostenido.xml,21,1.250,AlariodelRio
121,<music21.chord.Chord E3>,[0],[4],AlariodelRio_Sol_Sostenido.xml,21,1.500,AlariodelRio
123.5,<music21.chord.Chord E3>,[0],[4],AlariodelRio_Sol_Sostenido.xml,21,2.750,AlariodelRio
124,<music21.chord.Chord E3>,[0],[4],AlariodelRio_Sol_Sostenido.xml,21,3.000,AlariodelRio
124.5,<music21.chord.Chord F#3>,[0],[6],AlariodelRio_Sol_Sostenido.xml,21,3.250,AlariodelRio
125,<music21.chord.Chord D#3>,[0],[3],AlariodelRio_Sol_Sostenido.xml,21,3.500,AlariodelRio
125.5,<music21.chord.Chord D#3>,[0],[3],AlariodelRio_Sol_Sostenido.xml,21,3.750,AlariodelRio
126,<music21.chord.Chord B2>,[0],[11],AlariodelRio_Sol_Sostenido.xml,22,1.000,AlariodelRio
126.5,<music21.chord.Chord A#2>,[0],[10],AlariodelRio_Sol_Sostenido.xml,22,1.250,AlariodelRio
127,<music21.chord.Chord F#3>,[0],[6],AlariodelRio_Sol_Sostenido.xml,22,1.500,AlariodelRio
127.5,<music21.chord.Chord E3>,[0],[4],AlariodelRio_Sol_Sostenido.xml,22,1.750,AlariodelRio
130,<music21.chord.Chord F#3>,[0],[6],AlariodelRio_Sol_Sostenido.xml,22,3.000,AlariodelRio
130.5,<music21.chord.Chord G#2>,[0],[8],AlariodelRio_Sol_Sostenido.xml,22,3.250,AlariodelRio
131,<music21.chord.Chord C#3>,[0],[1],AlariodelRio_Sol_Sostenido.xml,22,3.500,AlariodelRio
131.5,<music21.chord.Chord B2>,[0],[11],AlariodelRio_Sol_Sostenido.xml,22,3.750,AlariodelRio
