Offset,Chord,measureNumber,NormalForm,PCsInNormalForm,File,Composer,beatNumber
0.5,<music21.chord.Chord C5 G5>,1,"[0, 5]","[7, 0]",La Cloches Sonne S248 C minor.mid,Liszt,1.5
1,<music21.chord.Chord C5 G5>,1,"[0, 5]","[7, 0]",La Cloches Sonne S248 C minor.mid,Liszt,2
1.5,<music21.chord.Chord C5 G5>,1,"[0, 5]","[7, 0]",La Cloches Sonne S248 C minor.mid,Liszt,2.5
2,<music21.chord.Chord C5 G5>,1,"[0, 5]","[7, 0]",La Cloches Sonne S248 C minor.mid,Liszt,3
2.5,<music21.chord.Chord C5 G5>,1,"[0, 5]","[7, 0]",La Cloches Sonne S248 C minor.mid,Liszt,3.5
3.5,<music21.chord.Chord C5 G5>,2,"[0, 5]","[7, 0]",La Cloches Sonne S248 C minor.mid,Liszt,1.5
4,<music21.chord.Chord C5 G5>,2,"[0, 5]","[7, 0]",La Cloches Sonne S248 C minor.mid,Liszt,2
4.5,<music21.chord.Chord C5 G5>,2,"[0, 5]","[7, 0]",La Cloches Sonne S248 C minor.mid,Liszt,2.5
5,<music21.chord.Chord C5 G5>,2,"[0, 5]","[7, 0]",La Cloches Sonne S248 C minor.mid,Liszt,3
5.5,<music21.chord.Chord C5 G5>,2,"[0, 5]","[7, 0]",La Cloches Sonne S248 C minor.mid,Liszt,3.5
6.5,<music21.chord.Chord C5 G5>,3,"[0, 5]","[7, 0]",La Cloches Sonne S248 C minor.mid,Liszt,1.5
7,<music21.chord.Chord C5 G5>,3,"[0, 5]","[7, 0]",La Cloches Sonne S248 C minor.mid,Liszt,2
7.5,<music21.chord.Chord C5 G5 C4>,3,"[0, 5]","[7, 0]",La Cloches Sonne S248 C minor.mid,Liszt,2.5
8,<music21.chord.Chord C5 G5 G4>,3,"[0, 5]","[7, 0]",La Cloches Sonne S248 C minor.mid,Liszt,3
8.5,<music21.chord.Chord C5 G5 G4>,3,"[0, 5]","[7, 0]",La Cloches Sonne S248 C minor.mid,Liszt,3.5
8.75,<music21.chord.Chord C5 G5 E-4>,3,"[0, 3, 7]","[0, 3, 7]",La Cloches Sonne S248 C minor.mid,Liszt,3.75
9,<music21.chord.Chord C5 G5 C4>,4,"[0, 5]","[7, 0]",La Cloches Sonne S248 C minor.mid,Liszt,1
9.5,<music21.chord.Chord C5 G5 C4>,4,"[0, 5]","[7, 0]",La Cloches Sonne S248 C minor.mid,Liszt,1.5
10,<music21.chord.Chord C5 G5 C4>,4,"[0, 5]","[7, 0]",La Cloches Sonne S248 C minor.mid,Liszt,2
10.5,<music21.chord.Chord C5 G5 C4>,4,"[0, 5]","[7, 0]",La Cloches Sonne S248 C minor.mid,Liszt,2.5
11,<music21.chord.Chord C5 G5 F4>,4,"[0, 2, 7]","[5, 7, 0]",La Cloches Sonne S248 C minor.mid,Liszt,3
11.5,<music21.chord.Chord C5 G5 F4>,4,"[0, 2, 7]","[5, 7, 0]",La Cloches Sonne S248 C minor.mid,Liszt,3.5
11.75,<music21.chord.Chord C5 G5 E-4>,4,"[0, 3, 7]","[0, 3, 7]",La Cloches Sonne S248 C minor.mid,Liszt,3.75
12,<music21.chord.Chord C5 G5 G4>,5,"[0, 5]","[7, 0]",La Cloches Sonne S248 C minor.mid,Liszt,1
12.5,<music21.chord.Chord C5 G5 G4>,5,"[0, 5]","[7, 0]",La Cloches Sonne S248 C minor.mid,Liszt,1.5
13,<music21.chord.Chord C5 G5 G4>,5,"[0, 5]","[7, 0]",La Cloches Sonne S248 C minor.mid,Liszt,2
13.5,<music21.chord.Chord C5 G5 E-4>,5,"[0, 3, 7]","[0, 3, 7]",La Cloches Sonne S248 C minor.mid,Liszt,2.5
14,<music21.chord.Chord C5 G5 G4>,5,"[0, 5]","[7, 0]",La Cloches Sonne S248 C minor.mid,Liszt,3
14.5,<music21.chord.Chord C5 G5 G4>,5,"[0, 5]","[7, 0]",La Cloches Sonne S248 C minor.mid,Liszt,3.5
14.75,<music21.chord.Chord C5 G5 E-4>,5,"[0, 3, 7]","[0, 3, 7]",La Cloches Sonne S248 C minor.mid,Liszt,3.75
15,<music21.chord.Chord D4>,6,[0],[2],La Cloches Sonne S248 C minor.mid,Liszt,1
15.5,<music21.chord.Chord B-4 B-5 D4>,6,"[0, 4]","[10, 2]",La Cloches Sonne S248 C minor.mid,Liszt,1.5
16,<music21.chord.Chord B-4 B-5 D4>,6,"[0, 4]","[10, 2]",La Cloches Sonne S248 C minor.mid,Liszt,2
16.5,<music21.chord.Chord B-4 B-5 F4>,6,"[0, 5]","[5, 10]",La Cloches Sonne S248 C minor.mid,Liszt,2.5
17,<music21.chord.Chord B-4 B-5 E-4>,6,"[0, 5]","[10, 3]",La Cloches Sonne S248 C minor.mid,Liszt,3
17.5,<music21.chord.Chord B-4 B-5 D4>,6,"[0, 4]","[10, 2]",La Cloches Sonne S248 C minor.mid,Liszt,3.5
18,<music21.chord.Chord E-4>,7,[0],[3],La Cloches Sonne S248 C minor.mid,Liszt,1
18.5,<music21.chord.Chord C5 G5 E-4>,7,"[0, 3, 7]","[0, 3, 7]",La Cloches Sonne S248 C minor.mid,Liszt,1.5
18.75,<music21.chord.Chord C5 G5 D4>,7,"[0, 2, 7]","[0, 2, 7]",La Cloches Sonne S248 C minor.mid,Liszt,1.75
19,<music21.chord.Chord C5 G5 C4>,7,"[0, 5]","[7, 0]",La Cloches Sonne S248 C minor.mid,Liszt,2
19.5,<music21.chord.Chord C5 G5 C4>,7,"[0, 5]","[7, 0]",La Cloches Sonne S248 C minor.mid,Liszt,2.5
20,<music21.chord.Chord C5 G5 G4>,7,"[0, 5]","[7, 0]",La Cloches Sonne S248 C minor.mid,Liszt,3
20.5,<music21.chord.Chord C5 G5 G4>,7,"[0, 5]","[7, 0]",La Cloches Sonne S248 C minor.mid,Liszt,3.5
20.75,<music21.chord.Chord C5 G5 E-4>,7,"[0, 3, 7]","[0, 3, 7]",La Cloches Sonne S248 C minor.mid,Liszt,3.75
21,<music21.chord.Chord C5 G5 C4>,8,"[0, 5]","[7, 0]",La Cloches Sonne S248 C minor.mid,Liszt,1
21.5,<music21.chord.Chord C5 G5 C4>,8,"[0, 5]","[7, 0]",La Cloches Sonne S248 C minor.mid,Liszt,1.5
22,<music21.chord.Chord C5 G5 C4>,8,"[0, 5]","[7, 0]",La Cloches Sonne S248 C minor.mid,Liszt,2
22.5,<music21.chord.Chord C5 G5 C4>,8,"[0, 5]","[7, 0]",La Cloches Sonne S248 C minor.mid,Liszt,2.5
23,<music21.chord.Chord C5 G5 F4>,8,"[0, 2, 7]","[5, 7, 0]",La Cloches Sonne S248 C minor.mid,Liszt,3
23.5,<music21.chord.Chord C5 G5 F4>,8,"[0, 2, 7]","[5, 7, 0]",La Cloches Sonne S248 C minor.mid,Liszt,3.5
23.75,<music21.chord.Chord C5 G5 E-4>,8,"[0, 3, 7]","[0, 3, 7]",La Cloches Sonne S248 C minor.mid,Liszt,3.75
24,<music21.chord.Chord C5 G5 G4>,9,"[0, 5]","[7, 0]",La Cloches Sonne S248 C minor.mid,Liszt,1
