measureNumber,beatNumber,Offset,Chord,NormalForm,PCsInNormalForm,File,Composer
20,1.667,58.5,<music21.chord.Chord B2 E4>,"[0, 5]","[11, 4]",Sculthorpe_Sea_Chant.mxl,Sculthorpe
20,2.000,59,<music21.chord.Chord E2 E4>,[0],[4],Sculthorpe_Sea_Chant.mxl,Sculthorpe
20,2.667,60,<music21.chord.Chord E4>,[0],[4],Sculthorpe_Sea_Chant.mxl,Sculthorpe
21,1.000,60.5,<music21.chord.Chord F2 E3 A3 C4 E4>,"[0, 1, 5, 8]","[4, 5, 9, 0]",Sculthorpe_Sea_Chant.mxl,Sculthorpe
21,2.000,62,<music21.chord.Chord F2 E3 A3 C4 E4>,"[0, 1, 5, 8]","[4, 5, 9, 0]",Sculthorpe_Sea_Chant.mxl,Sculthorpe
21,2.667,63,<music21.chord.Chord F2 E3 A3 C4 D4>,"[0, 3, 5, 7, 8]","[9, 0, 2, 4, 5]",Sculthorpe_Sea_Chant.mxl,Sculthorpe
22,1.000,63.5,<music21.chord.Chord E2 B2 E4>,"[0, 5]","[11, 4]",Sculthorpe_Sea_Chant.mxl,Sculthorpe
22,1.333,64,<music21.chord.Chord E4>,[0],[4],Sculthorpe_Sea_Chant.mxl,Sculthorpe
22,1.667,64.5,<music21.chord.Chord E3 E4>,[0],[4],Sculthorpe_Sea_Chant.mxl,Sculthorpe
22,2.000,65,<music21.chord.Chord B3 E4>,"[0, 5]","[11, 4]",Sculthorpe_Sea_Chant.mxl,Sculthorpe
22,2.667,66,<music21.chord.Chord B4>,[0],[11],Sculthorpe_Sea_Chant.mxl,Sculthorpe
23,1.000,66.5,<music21.chord.Chord F2 E3 A3 C4 E4>,"[0, 1, 5, 8]","[4, 5, 9, 0]",Sculthorpe_Sea_Chant.mxl,Sculthorpe
23,2.000,68,<music21.chord.Chord F2 E3 A3 C4 E4>,"[0, 1, 5, 8]","[4, 5, 9, 0]",Sculthorpe_Sea_Chant.mxl,Sculthorpe
23,2.667,69,<music21.chord.Chord F2 E3 A3 C4 D4>,"[0, 3, 5, 7, 8]","[9, 0, 2, 4, 5]",Sculthorpe_Sea_Chant.mxl,Sculthorpe
24,1.000,69.5,<music21.chord.Chord E2 B2 E4>,"[0, 5]","[11, 4]",Sculthorpe_Sea_Chant.mxl,Sculthorpe
24,1.667,70.5,<music21.chord.Chord E4>,[0],[4],Sculthorpe_Sea_Chant.mxl,Sculthorpe
24,2.000,71,<music21.chord.Chord B4 E5 B5>,"[0, 5]","[11, 4]",Sculthorpe_Sea_Chant.mxl,Sculthorpe
