Offset,Chord,NormalForm,PCsInNormalForm,measureNumber,Measure Count,Composer
165,<music21.chord.Chord G#5 E4 G-1>,"[0, 3, 4]","[4, 7, 8]",,,Alkan
165.125,<music21.chord.Chord G#5 G#4 E4 G-1>,"[0, 3, 4]","[4, 7, 8]",,,Alkan
165.5,<music21.chord.Chord F#5 G#4 E4 G-1>,"[0, 2, 3, 4]","[4, 6, 7, 8]",,,Alkan
166,<music21.chord.Chord E5 G#4 E-4 G-1>,"[0, 1, 4, 5]","[3, 4, 7, 8]",,,Alkan
166.125,<music21.chord.Chord E5 F#4 E-4 G-1>,"[0, 1, 3, 4]","[3, 4, 6, 7]",,,Alkan
167,<music21.chord.Chord E-5 F#4 G-1>,"[0, 3, 4]","[3, 6, 7]",,,Alkan
167.125,<music21.chord.Chord E-5 A4 F#4 G-1>,"[0, 3, 4, 6]","[3, 6, 7, 9]",,,Alkan
168,<music21.chord.Chord E-5 A4 E4 G-1>,"[0, 1, 4, 6]","[3, 4, 7, 9]",,,Alkan
168.125,<music21.chord.Chord E-5 G#4 E4 G-1>,"[0, 1, 4, 5]","[3, 4, 7, 8]",,,Alkan
169.5,<music21.chord.Chord E-5 G#4 C#4 G-1>,"[0, 2, 6, 7]","[1, 3, 7, 8]",,,Alkan
169.625,<music21.chord.Chord E-5 E4 C#4 G-1>,"[0, 2, 3, 6]","[1, 3, 4, 7]",,,Alkan
170,<music21.chord.Chord E5 E4 G-1>,"[0, 3]","[4, 7]",,,Alkan
170.125,<music21.chord.Chord E5 G#4 E4 G-1>,"[0, 3, 4]","[4, 7, 8]",,,Alkan
171,<music21.chord.Chord E4 G#4 G-1>,"[0, 3, 4]","[4, 7, 8]",,,Alkan
171.125,<music21.chord.Chord E4 G-1>,"[0, 3]","[4, 7]",,,Alkan
171.75,<music21.chord.Chord G#4 G-1>,"[0, 1]","[7, 8]",,,Alkan
172,<music21.chord.Chord B4 G-1>,"[0, 4]","[7, 11]",,,Alkan
173,<music21.chord.Chord B4 G#4 G-1>,"[0, 1, 4]","[7, 8, 11]",,,Alkan
173.125,<music21.chord.Chord B4 G#4 G-1>,"[0, 1, 4]","[7, 8, 11]",,,Alkan
