Offset,Chord,NormalForm,PCsInNormalForm,File,measureNumber,MeasureCount,Composer
118.7083333,<music21.chord.Chord A4 C#4 C#3 F#4 F#3>,"[0, 3, 7]","[6, 9, 1]",Prelude in C#- Op3No2 C#-.mid,,,Rachmaninov
118.75,<music21.chord.Chord A4 C#4 C#3 F#4>,"[0, 3, 7]","[6, 9, 1]",Prelude in C#- Op3No2 C#-.mid,,,Rachmaninov
118.875,<music21.chord.Chord A4 C#4 F#4>,"[0, 3, 7]","[6, 9, 1]",Prelude in C#- Op3No2 C#-.mid,,,Rachmaninov
119.625,<music21.chord.Chord C#5 C#4>,[0],[1],Prelude in C#- Op3No2 C#-.mid,,,Rachmaninov
119.6666667,<music21.chord.Chord E4 E3 F#3 C#5 C#4>,"[0, 3, 5]","[1, 4, 6]",Prelude in C#- Op3No2 C#-.mid,,,Rachmaninov
119.75,<music21.chord.Chord F#4 C#5 C#4 E4 F#3 E3>,"[0, 3, 5]","[1, 4, 6]",Prelude in C#- Op3No2 C#-.mid,,,Rachmaninov
120.1666667,<music21.chord.Chord C#5 C#4 E4 F#3 F#4>,"[0, 3, 5]","[1, 4, 6]",Prelude in C#- Op3No2 C#-.mid,,,Rachmaninov
120.25,<music21.chord.Chord C#5 C#4 E4 F#3>,"[0, 3, 5]","[1, 4, 6]",Prelude in C#- Op3No2 C#-.mid,,,Rachmaninov
120.2916667,<music21.chord.Chord C#5 C#4>,[0],[1],Prelude in C#- Op3No2 C#-.mid,,,Rachmaninov
121.125,<music21.chord.Chord B4 F#3 B3 D4 F#4>,"[0, 3, 7]","[11, 2, 6]",Prelude in C#- Op3No2 C#-.mid,,,Rachmaninov
121.25,<music21.chord.Chord D3 B4 F#3 B3 D4 F#4>,"[0, 3, 7]","[11, 2, 6]",Prelude in C#- Op3No2 C#-.mid,,,Rachmaninov
121.625,<music21.chord.Chord F#4 D3>,"[0, 4]","[2, 6]",Prelude in C#- Op3No2 C#-.mid,,,Rachmaninov
121.75,<music21.chord.Chord F#4>,[0],[6],Prelude in C#- Op3No2 C#-.mid,,,Rachmaninov
123,<music21.chord.Chord G3 G1 G2>,[0],[7],Prelude in C#- Op3No2 C#-.mid,,,Rachmaninov
123.5,<music21.chord.Chord G3 G2>,[0],[7],Prelude in C#- Op3No2 C#-.mid,,,Rachmaninov
123.625,<music21.chord.Chord G3>,[0],[7],Prelude in C#- Op3No2 C#-.mid,,,Rachmaninov
124.5,<music21.chord.Chord A4 A3>,[0],[9],Prelude in C#- Op3No2 C#-.mid,,,Rachmaninov
124.625,<music21.chord.Chord C#4 E4 A4 A3>,"[0, 4, 7]","[9, 1, 4]",Prelude in C#- Op3No2 C#-.mid,,,Rachmaninov
124.6666667,<music21.chord.Chord E3 A4 A3 C#4 E4>,"[0, 4, 7]","[9, 1, 4]",Prelude in C#- Op3No2 C#-.mid,,,Rachmaninov
125,<music21.chord.Chord E4 E3>,[0],[4],Prelude in C#- Op3No2 C#-.mid,,,Rachmaninov
125.1666667,<music21.chord.Chord E4>,[0],[4],Prelude in C#- Op3No2 C#-.mid,,,Rachmaninov
126,<music21.chord.Chord G#3 G#1 G#2>,[0],[8],Prelude in C#- Op3No2 C#-.mid,,,Rachmaninov
126.5,<music21.chord.Chord G#3>,[0],[8],Prelude in C#- Op3No2 C#-.mid,,,Rachmaninov
127.625,<music21.chord.Chord G#4>,[0],[8],Prelude in C#- Op3No2 C#-.mid,,,Rachmaninov
127.6666667,<music21.chord.Chord G#3 G#4>,[0],[8],Prelude in C#- Op3No2 C#-.mid,,,Rachmaninov
127.75,<music21.chord.Chord F#3 C4 E-4 G#4 G#3>,"[0, 3, 6, 8]","[0, 3, 6, 8]",Prelude in C#- Op3No2 C#-.mid,,,Rachmaninov
127.875,<music21.chord.Chord E-3 G#4 G#3 F#3 C4 E-4>,"[0, 3, 6, 8]","[0, 3, 6, 8]",Prelude in C#- Op3No2 C#-.mid,,,Rachmaninov
127.9166667,<music21.chord.Chord G#4 F#3 C4 E-4 E-3>,"[0, 3, 6, 8]","[0, 3, 6, 8]",Prelude in C#- Op3No2 C#-.mid,,,Rachmaninov
